150.585373:0.498299 236.634140:0.085406 86.048782:0.059222 301.170746:0.025253 21.512196:0.017084 387.219513:0.012362 537.804871:0.008604 623.853638:0.005965 473.268280:0.005266 709.902466:0.004410 774.439026:0.003234 946.536560:0.001910 860.487793:0.000632 1032.585327:0.000625 1097.121948:0.000337 1183.170776:0.000293 
150.585373:0.508546 236.634140:0.085491 86.048782:0.056663 301.170746:0.024393 21.512196:0.017096 387.219513:0.012461 537.804871:0.008056 623.853638:0.005943 473.268280:0.004857 688.390259:0.003924 774.439026:0.003386 925.024414:0.001668 860.487793:0.000821 1011.073181:0.000613 1097.121948:0.000461 1333.756104:0.000308 
150.585373:0.513007 236.634140:0.088860 86.048782:0.048683 301.170746:0.022773 21.512196:0.014243 387.219513:0.011869 537.804871:0.007402 623.853638:0.005668 473.268280:0.003828 688.390259:0.003527 774.439026:0.003192 925.024414:0.001431 860.487793:0.000927 1011.073181:0.000681 1097.121948:0.000557 1333.756104:0.000397 
150.585373:0.511226 236.634140:0.087582 86.048782:0.044805 301.170746:0.023760 387.219513:0.012260 537.804871:0.007345 623.853638:0.005319 451.756104:0.003412 709.902466:0.003090 774.439026:0.002876 925.024414:0.001175 860.487793:0.000974 1011.073181:0.000766 1097.121948:0.000634 1333.756104:0.000431 1936.097534:0.000289 
150.585373:0.506322 236.634140:0.089077 64.536583:0.044325 301.170746:0.024385 21.512196:0.014853 387.219513:0.011939 537.804871:0.007610 623.853638:0.004905 451.756104:0.003288 709.902466:0.003166 774.439026:0.002564 860.487793:0.000951 925.024414:0.000941 1011.073181:0.000824 1097.121948:0.000650 1333.756104:0.000392 
150.585373:0.500388 236.634140:0.082651 86.048782:0.049106 301.170746:0.025583 21.512196:0.016146 387.219513:0.012117 537.804871:0.007935 623.853638:0.004418 709.902466:0.003263 473.268280:0.003085 774.439026:0.002276 860.487793:0.000934 1011.073181:0.000885 925.024414:0.000741 1097.121948:0.000616 1333.756104:0.000294 
150.585373:0.492248 236.634140:0.081668 86.048782:0.047134 301.170746:0.023092 21.512196:0.021595 387.219513:0.012664 537.804871:0.007676 623.853638:0.004127 709.902466:0.003179 473.268280:0.003104 774.439026:0.002268 860.487793:0.000932 1011.073181:0.000864 946.536560:0.000654 1097.121948:0.000575 1419.804932:0.000283 
150.585373:0.485615 236.634140:0.075615 86.048782:0.055809 322.682922:0.022626 387.219513:0.012792 537.804871:0.007077 623.853638:0.003771 473.268280:0.003088 709.902466:0.002948 774.439026:0.002197 860.487793:0.000937 1011.073181:0.000807 946.536560:0.000565 1097.121948:0.000522 1247.707275:0.000284 2710.536621:0.000257 
150.585373:0.482936 236.634140:0.077407 86.048782:0.049879 322.682922:0.023466 387.219513:0.013453 537.804871:0.006615 623.853638:0.003876 473.268280:0.003096 709.902466:0.002806 774.439026:0.002193 860.487793:0.000948 1011.073181:0.000695 1097.121948:0.000474 946.536560:0.000450 1247.707275:0.000320 2710.536621:0.000251 
150.585373:0.486831 236.634140:0.077278 86.048782:0.051188 301.170746:0.024100 387.219513:0.013112 537.804871:0.006312 623.853638:0.003845 473.268280:0.003322 709.902466:0.002741 774.439026:0.002051 860.487793:0.000915 1011.073181:0.000533 1097.121948:0.000426 1247.707275:0.000347 946.536560:0.000330 1591.902466:0.000271 
150.585373:0.493403 236.634140:0.080379 86.048782:0.044957 301.170746:0.025225 387.219513:0.012709 537.804871:0.005989 623.853638:0.004062 473.268280:0.003364 709.902466:0.002756 774.439026:0.001988 860.487793:0.000872 1247.707275:0.000373 1097.121948:0.000362 1011.073181:0.000344 1591.902466:0.000300 1161.658569:0.000243 
150.585373:0.500726 236.634140:0.081364 64.536583:0.045194 301.170746:0.023870 387.219513:0.011801 537.804871:0.005581 623.853638:0.003934 473.268280:0.002951 688.390259:0.002882 774.439026:0.001837 860.487793:0.000805 1247.707275:0.000366 1591.902466:0.000322 1075.609741:0.000318 12477.073242:0.000237 2646.000000:0.000234 
150.585373:0.503441 236.634140:0.079937 86.048782:0.047156 301.170746:0.023130 387.219513:0.012384 537.804871:0.005348 623.853638:0.003848 688.390259:0.003041 473.268280:0.002491 774.439026:0.001736 860.487793:0.000760 1591.902466:0.000338 1247.707275:0.000298 2646.000000:0.000253 1075.609741:0.000252 12477.073242:0.000231 
150.585373:0.499654 236.634140:0.079378 86.048782:0.050343 301.170746:0.022157 387.219513:0.012594 537.804871:0.005297 623.853638:0.003695 688.390259:0.002927 451.756104:0.002153 774.439026:0.001631 860.487793:0.000717 1591.902466:0.000346 925.024414:0.000257 2646.000000:0.000242 1247.707275:0.000226 1183.170776:0.000225 
150.585373:0.491788 236.634140:0.074358 86.048782:0.055167 301.170746:0.024610 387.219513:0.013845 21.512196:0.008915 537.804871:0.005444 623.853638:0.003624 688.390259:0.002614 473.268280:0.001862 774.439026:0.001614 860.487793:0.000676 1591.902466:0.000344 925.024414:0.000271 1183.170776:0.000257 2646.000000:0.000228 
150.585373:0.484582 236.634140:0.076095 86.048782:0.047032 301.170746:0.025391 387.219513:0.014016 21.512196:0.006334 537.804871:0.005372 623.853638:0.003547 688.390259:0.002215 473.268280:0.002045 774.439026:0.001602 860.487793:0.000616 1591.902466:0.000328 1183.170776:0.000298 1247.707275:0.000222 2646.000000:0.000219 
150.585373:0.482216 236.634140:0.072129 86.048782:0.047981 301.170746:0.026575 387.219513:0.013585 537.804871:0.005002 623.853638:0.003212 473.268280:0.002482 688.390259:0.001796 774.439026:0.001588 838.975586:0.000522 1591.902466:0.000320 1183.170776:0.000311 1247.707275:0.000305 1312.243896:0.000229 1054.097534:0.000223 
150.585373:0.483923 236.634140:0.075881 64.536583:0.042653 301.170746:0.023613 387.219513:0.013145 21.512196:0.005127 537.804871:0.003899 473.268280:0.003142 623.853638:0.002974 774.439026:0.001963 709.902466:0.001748 1247.707275:0.000399 1613.414673:0.000367 1161.658569:0.000344 1312.243896:0.000342 1054.097534:0.000340 
150.585373:0.489082 236.634140:0.075156 86.048782:0.046481 301.170746:0.020892 387.219513:0.012868 473.268280:0.004444 623.853638:0.003125 537.804871:0.002854 580.829285:0.002532 795.951233:0.002404 688.390259:0.001877 838.975586:0.001160 1161.658569:0.000752 2732.048828:0.000655 1312.243896:0.000654 1871.561035:0.000612 
150.585373:0.494823 236.634140:0.077196 86.048782:0.045486 301.170746:0.024942 387.219513:0.009813 473.268280:0.007741 752.926819:0.004643 623.853638:0.004327 838.975586:0.003984 688.390259:0.003285 1161.658569:0.003124 1398.292725:0.003124 537.804871:0.002842 1312.243896:0.002815 1871.561035:0.002327 2732.048828:0.002325 
150.585373:0.497434 236.634140:0.075228 301.170746:0.052709 86.048782:0.048005 387.219513:0.020873 473.268280:0.016460 731.414612:0.015851 1183.170776:0.013747 838.975586:0.012068 1312.243896:0.011458 602.341492:0.010378 946.536560:0.008071 1075.609741:0.007641 2624.487793:0.006897 1871.561035:0.006522 1720.975586:0.006392 
150.585373:0.497212 322.682922:0.107236 236.634140:0.081088 731.414612:0.051597 86.048782:0.044521 1183.170776:0.035982 1075.609741:0.030362 473.268280:0.024636 43.024391:0.024470 838.975586:0.023155 1312.243896:0.022657 602.341492:0.019065 946.536560:0.018450 1850.048828:0.015565 1699.463379:0.012732 2624.487793:0.012672 
150.585373:0.499398 344.195129:0.197635 731.414612:0.107208 236.634140:0.091680 1097.121948:0.074362 21.512196:0.047897 473.268280:0.034271 946.536560:0.033230 1290.731689:0.032593 1850.048828:0.029849 602.341492:0.025358 1699.463379:0.017722 2646.000000:0.016249 2151.219482:0.014166 2753.561035:0.013484 2344.829346:0.012533 
150.585373:0.482489 365.707306:0.330487 731.414612:0.162699 1097.121948:0.125162 258.146332:0.109790 43.024391:0.082683 946.536560:0.049013 1850.048828:0.046691 473.268280:0.046138 817.463440:0.040634 623.853638:0.028184 5248.975586:0.019995 1699.463379:0.018470 2646.000000:0.015916 2151.219482:0.015785 2753.561035:0.015599 
365.707306:0.455493 150.585373:0.440997 731.414612:0.196785 1097.121948:0.165636 236.634140:0.114204 925.024414:0.067292 1850.048828:0.060802 473.268280:0.057090 1204.682983:0.042477 838.975586:0.036103 5248.975586:0.030023 1269.219482:0.026878 623.853638:0.023036 5098.390137:0.019981 6410.634277:0.019898 3700.097656:0.018709 
365.707306:0.523889 150.585373:0.412764 107.560974:0.286484 731.414612:0.202584 1097.121948:0.185721 236.634140:0.113345 925.024414:0.087655 473.268280:0.068946 1850.048828:0.067639 5248.975586:0.037837 838.975586:0.027718 6410.634277:0.025677 1204.682983:0.025263 5098.390137:0.024934 2215.756104:0.021234 8432.780273:0.021217 
365.707306:0.528433 150.585373:0.423484 107.560974:0.329580 731.414612:0.189194 1097.121948:0.187951 236.634140:0.101472 925.024414:0.100685 21.512196:0.081913 473.268280:0.077944 1850.048828:0.066875 5248.975586:0.041844 6410.634277:0.029936 279.658539:0.029531 5098.390137:0.026707 10540.975586:0.025051 8432.780273:0.024510 
365.707306:0.500836 150.585373:0.449639 107.560974:0.303983 1097.121948:0.182318 731.414612:0.173017 925.024414:0.107110 473.268280:0.082764 236.634140:0.080080 1850.048828:0.061944 5248.975586:0.042757 6410.634277:0.032574 5119.902344:0.026966 10540.975586:0.026578 4087.317139:0.025665 8432.780273:0.023750 2215.756104:0.023581 
365.707306:0.466461 150.585373:0.460071 1097.121948:0.175570 731.414612:0.161598 925.024414:0.108854 473.268280:0.080719 236.634140:0.075090 21.512196:0.059289 1850.048828:0.056887 5248.975586:0.042236 6410.634277:0.033909 4087.317139:0.027397 5119.902344:0.025591 10540.975586:0.025380 2215.756104:0.023136 7206.585449:0.022241 
150.585373:0.450143 365.707306:0.436634 107.560974:0.226696 1097.121948:0.170957 731.414612:0.153698 925.024414:0.107788 473.268280:0.074472 236.634140:0.066870 21.512196:0.058276 1850.048828:0.052388 5248.975586:0.041740 6410.634277:0.034274 301.170746:0.033296 4087.317139:0.027818 3334.390137:0.023170 10540.975586:0.023043 
